filename,gps_values,gyro_values,speed,angle,lidar
2024-06-16 15-50-14.563992.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-14.677541.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-14.792011.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-14.895090.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.001583.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.120441.png,"['-235.33', '45.88', '0.32']","[' -0.00000', '  0.00000', '  0.00000']",0,0,inf
2024-06-16 15-50-15.226000.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.337951.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.446166.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.562018.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.664808.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.776356.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.883179.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-15.996960.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-16.099891.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-16.208650.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-16.319654.png,"['-235.33', '45.88', '0.32']","[' -0.00000', '  0.00000', '  0.00000']",0,0,inf
2024-06-16 15-50-16.427004.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-16.540002.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-16.664769.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-16.775997.png,"['-235.33', '45.88', '0.32']","[' -0.00000', '  0.00000', '  0.00000']",0,0,inf
2024-06-16 15-50-16.884152.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-16.991258.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.098537.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.202946.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.309313.png,"['-235.33', '45.88', '0.32']","[' -0.00000', '  0.00000', '  0.00000']",0,0,inf
2024-06-16 15-50-17.418255.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.525193.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.634167.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.738989.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.852204.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-17.961372.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.064756.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.179065.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.284737.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.390953.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.508608.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.619827.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.722775.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.831434.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-18.947325.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.056639.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.161245.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.264576.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.368525.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.481660.png,"['-235.33', '45.88', '0.32']","[' -0.00000', '  0.00000', '  0.00000']",0,0,inf
2024-06-16 15-50-19.594510.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.710104.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.814917.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-19.927539.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-20.048914.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-20.154637.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-20.264502.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-20.366215.png,"['-235.33', '45.88', '0.32']","[' -0.00000', '  0.00000', '  0.00000']",0,0,inf
2024-06-16 15-50-20.469833.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-20.587506.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-20.696456.png,"['-235.33', '45.88', '0.32']","[' -0.00000', '  0.00000', '  0.00000']",0,0,inf
2024-06-16 15-50-20.801828.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-20.912399.png,"['-235.33', '45.88', '0.32']","['  0.00000', '  0.00000', ' -0.00000']",0,0,inf
2024-06-16 15-50-21.018991.png,"['-235.33', '45.88', '0.32']","[' -0.00000', ' -0.03072', ' -0.00000']",5,0,inf
2024-06-16 15-50-21.127753.png,"['-235.33', '45.83', '0.31']","[' -0.00000', ' -0.02872', ' -0.00000']",5,0,inf
2024-06-16 15-50-21.246647.png,"['-235.33', '45.75', '0.31']","['  0.00000', ' -0.00067', ' -0.00000']",5,0,inf
2024-06-16 15-50-21.352352.png,"['-235.33', '45.62', '0.31']","['  0.00000', '  0.02088', '  0.00000']",5,0,inf
2024-06-16 15-50-21.465133.png,"['-235.33', '45.47', '0.32']","['  0.00000', '  0.04416', '  0.00000']",5,0,inf
2024-06-16 15-50-21.575112.png,"['-235.33', '45.35', '0.32']","['  0.00000', '  0.01343', '  0.00000']",5,0,inf
2024-06-16 15-50-21.691814.png,"['-235.33', '45.15', '0.32']","[' -0.00000', ' -0.01540', ' -0.00000']",5,0,inf
